timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
5/7/2021,58.68,59.635,58.45,59.51,59.51,2081015,0,1
5/6/2021,57.55,60.055,57.46,59.45,59.45,3294332,0,1
5/5/2021,56.28,57.03,56.28,56.95,56.95,1095600,0,1
5/4/2021,57.09,57.41,55.93,56.42,56.42,2597532,0,1
5/3/2021,55.24,57.355,55.02,57.14,57.14,2755864,0,1
4/30/2021,55.39,55.51,54.4,54.95,54.95,2946031,0,1
4/29/2021,53.05,55.71,52.35,55.5,55.5,4585118,0,1
4/28/2021,52.53,52.8929,51.62,51.87,51.87,2266614,0,1
4/27/2021,52.78,53.01,51.96,52.06,52.06,1448768,0,1
4/26/2021,52.24,52.99,51.91,52.94,52.94,1440116,0,1
4/23/2021,52.25,52.79,52.02,52.27,52.27,1486848,0,1
4/22/2021,53.08,53.22,52.23,52.28,52.28,1588021,0,1
4/21/2021,52.74,53.59,52.46,53.17,53.17,2161415,0,1
4/20/2021,53.93,54.45,52.24,52.43,52.43,1970208,0,1
4/19/2021,53.5,54.15,52.921,54.01,54.01,1660903,0,1
4/16/2021,53.2,53.59,52.85,53.47,53.47,1601028,0,1
4/15/2021,51.22,52.99,51.22,52.94,52.94,2123150,0,1
4/14/2021,51.87,52.06,50.77,51.15,51.15,2067026,0,1
4/13/2021,49.9,52.18,49.83,51.74,51.74,3599716,0,1
4/12/2021,50.28,50.83,50.21,50.62,50.62,1532302,0,1
4/9/2021,51.78,51.81,49.92,50,50,2166953,0,1
4/8/2021,51.15,51.94,50.72,51.58,51.58,2915118,0,1
4/7/2021,52.71,53,51.57,51.72,51.72,1886525,0,1
4/6/2021,52.5,53.37,52.115,52.41,52.41,1977267,0,1
4/5/2021,52.35,53.25,52.08,52.75,52.75,1803482,0,1
4/1/2021,51.17,51.98,50.16,51.9,51.9,1908981,0,1
3/31/2021,51.9,52.405,51.12,51.15,51.15,2228811,0,1
3/30/2021,52.79,53.26,51.78,52.34,52.34,2152117,0,1
3/29/2021,51,53.22,50.99,52.91,52.91,3217038,0,1
3/26/2021,50.41,51.4,50.31,51.37,51.37,1791331,0,1
3/25/2021,48.43,50.41,48.025,50.1,50.1,2086924,0,1
3/24/2021,48.82,49.0691,48.27,48.36,48.36,2271928,0,1
3/23/2021,49.9,49.9,48.3225,48.79,48.79,2912206,0,1
3/22/2021,49.2,49.85,48.6116,49.85,49.85,2466337,0,1
3/19/2021,48.6,49.42,47.36,49.2,49.2,4444611,0,1
3/18/2021,49.02,50.27,49.02,49.15,49.15,3318067,0,1
3/17/2021,48.66,49.12,48.02,48.66,48.66,4040832,0,1
3/16/2021,47.24,48.7,46.75,48.41,48.41,3362937,0,1
3/15/2021,46.61,48.13,46.51,47.64,47.64,2912049,0,1
3/12/2021,46.31,46.95,46.09,46.63,46.63,2350686,0,1
3/11/2021,46.24,46.89,45.7,45.98,45.98,2876661,0,1
3/10/2021,46.8,47.86,46.57,46.85,46.85,2327908,0,1
3/9/2021,48.1,48.1,46.37,46.38,46.38,2479769,0,1
3/8/2021,46.48,48.14,46.37,47.67,47.67,2894561,0,1
3/5/2021,45.85,46.7,45.5,46.16,46.16,3987045,0,1
3/4/2021,45.26,46.41,44.51,45.39,45.39,2684039,0,1
3/3/2021,45.36,46.02,44.64,44.95,44.95,2711738,0,1
3/2/2021,44.55,45.36,44.37,44.97,44.97,1795489,0,1
3/1/2021,45.32,46.14,44.78,44.85,44.85,1385963,0,1
2/26/2021,45.8,46.07,44.36,44.45,44.45,2597627,0,1
2/25/2021,46.73,47.355,45.8,45.83,45.83,2919238,0,1
2/24/2021,47.17,47.42,46.435,47.01,47.01,3039845,0,1
2/23/2021,45.38,47.19,44.82,46.98,46.98,3445251,0,1
2/22/2021,44.6,45.41,44.4249,45.12,45.12,2202260,0,1
2/19/2021,44.85,45.79,44.33,44.4,44.4,3055044,0,1
2/18/2021,45.19,45.61,44.48,44.54,44.54,2184047,0,1
2/17/2021,44.4,45.51,44.18,45.38,45.38,2973329,0,1
2/16/2021,44.69,45.1399,43.62,44.5,44.5,3576874,0,1
2/12/2021,44.48,44.85,43.56,44.01,44.01,4751454,0,1
2/11/2021,45.99,46.49,43.43,44.5,44.5,8179735,0,1
2/10/2021,48.75,49.28,48.05,48.98,48.98,3005775,0,1
2/9/2021,48.87,49.18,48.15,48.66,48.66,1901562,0,1
2/8/2021,48.93,49.23,48.26,48.72,48.72,1823281,0,1
2/5/2021,49.23,49.89,48.62,48.98,48.98,2088389,0,1
2/4/2021,49.5,49.84,48.58,49.06,49.06,1767394,0,1
2/3/2021,49.21,49.76,48.73,49.37,49.37,1856116,0,1
2/2/2021,49.58,49.85,48.61,48.89,48.89,1822749,0,1
2/1/2021,50.54,50.95,49.04,49.51,49.51,2495973,0,1
1/29/2021,52.05,52.51,49.81,50.16,50.16,2513393,0,1
1/28/2021,54.78,55.31,51.87,51.98,51.98,2110733,0,1
1/27/2021,52.81,56.1,52.56,54.99,54.99,3783708,0,1
1/26/2021,52.2,53.36,51.915,53.33,53.33,2545366,0,1
1/25/2021,50,52.44,49.95,51.65,51.65,1825309,0,1
1/22/2021,50.15,50.72,49.95,50.52,50.52,1283884,0,1
1/21/2021,51.11,51.39,50,50.65,50.65,1560759,0,1
1/20/2021,51.98,52.12,50.52,51.14,51.14,2002283,0,1
1/19/2021,52.94,53.19,51.77,52.03,52.03,1783764,0,1
1/15/2021,53.24,53.32,52.3,52.54,52.54,1855100,0,1
1/14/2021,52.63,53.715,52.09,53.5,53.5,1902945,0,1
1/13/2021,51.45,53.2299,51.16,52.29,52.29,2611184,0,1
1/12/2021,50,52.315,50,51.85,51.85,2893965,0,1
1/11/2021,48.92,50.06,48.8153,49.68,49.68,2197687,0,1
1/8/2021,49.18,49.545,48.83,49.5,49.5,1134381,0,1
1/7/2021,49.39,49.77,48.68,49.15,49.15,1918562,0,1
1/6/2021,47.88,50.05,47.86,49.25,49.25,3361000,0,1
1/5/2021,45.91,47.3,45.64,47,47,2619173,0,1
1/4/2021,46.52,46.52,44.81,45.65,45.65,1857088,0,1
12/31/2020,45.12,45.28,44.8154,45.19,45.19,1030935,0,1
12/30/2020,45.31,45.65,45,45.24,45.24,1202037,0,1
12/29/2020,45.91,46.23,45.32,45.54,45.54,2109457,0,1
